2017-08-18 12:13:10,070 [Executor task launch worker-0] INFO  [org.apache.spark.executor.Executor] - Running task 1.0 in stage 277.0 (TID 555)
2017-08-18 12:13:15,063 [dag-scheduler-event-loop] INFO  [org.apache.spark.storage.memory.MemoryStore] - Block broadcast_278_piece0 stored as bytes in memory (estimated size 25.1 KB, free 412.9 MB)
2017-08-18 12:13:15,064 [dispatcher-event-loop-3] INFO  [org.apache.spark.storage.BlockManagerInfo] - Added broadcast_278_piece0 in memory on 192.168.31.111:60809 (size: 25.1 KB, free: 413.5 MB)
2017-08-18 12:13:15,064 [dag-scheduler-event-loop] INFO  [org.apache.spark.SparkContext] - Created broadcast 278 from broadcast at DAGScheduler.scala:1012
2017-08-18 12:13:15,065 [dag-scheduler-event-loop] INFO  [org.apache.spark.scheduler.DAGScheduler] - Submitting 2 missing tasks from ResultStage 278 (MapPartitionsRDD[557] at map at streamingProcessNew.scala:49)
2017-08-18 12:13:15,065 [dag-scheduler-event-loop] INFO  [org.apache.spark.scheduler.TaskSchedulerImpl] - Adding task set 278.0 with 2 tasks
2017-08-18 12:13:15,068 [dispatcher-event-loop-2] INFO  [org.apache.spark.scheduler.TaskSetManager] - Starting task 0.0 in stage 278.0 (TID 556, localhost, partition 0, ANY, 5657 bytes)
2017-08-18 12:13:15,068 [dispatcher-event-loop-2] INFO  [org.apache.spark.scheduler.TaskSetManager] - Starting task 1.0 in stage 278.0 (TID 557, localhost, partition 1, ANY, 5657 bytes)
2017-08-18 12:13:15,069 [Executor task launch worker-0] INFO  [org.apache.spark.executor.Executor] - Running task 1.0 in stage 278.0 (TID 557)
2017-08-18 12:13:15,069 [Executor task launch worker-1] INFO  [org.apache.spark.executor.Executor] - Running task 0.0 in stage 278.0 (TID 556)
2017-08-18 12:13:15,084 [dispatcher-event-loop-1] INFO  [org.apache.spark.storage.BlockManagerInfo] - Removed broadcast_263_piece0 on 192.168.31.111:60809 in memory (size: 25.1 KB, free: 413.5 MB)
2017-08-18 12:13:15,084 [Executor task launch worker-0] INFO  [org.apache.spark.streaming.kafka.KafkaRDD] - Beginning offset 998 is the same as ending offset skipping test07 1
2017-08-18 12:13:15,085 [Executor task launch worker-1] INFO  [org.apache.spark.streaming.kafka.KafkaRDD] - Beginning offset 976 is the same as ending offset skipping test07 0
2017-08-18 12:13:15,087 [dispatcher-event-loop-3] INFO  [org.apache.spark.storage.BlockManagerInfo] - Removed broadcast_264_piece0 on 192.168.31.111:60809 in memory (size: 25.1 KB, free: 413.6 MB)
2017-08-18 12:13:15,089 [dispatcher-event-loop-0] INFO  [org.apache.spark.storage.BlockManagerInfo] - Removed broadcast_265_piece0 on 192.168.31.111:60809 in memory (size: 25.1 KB, free: 413.6 MB)
2017-08-18 12:13:15,089 [Executor task launch worker-0] INFO  [org.apache.spark.executor.Executor] - Finished task 1.0 in stage 278.0 (TID 557). 787 bytes result sent to driver
2017-08-18 12:13:15,089 [Executor task launch worker-1] INFO  [org.apache.spark.executor.Executor] - Finished task 0.0 in stage 278.0 (TID 556). 787 bytes result sent to driver
2017-08-18 12:13:15,093 [dispatcher-event-loop-1] INFO  [org.apache.spark.storage.BlockManagerInfo] - Removed broadcast_266_piece0 on 192.168.31.111:60809 in memory (size: 25.1 KB, free: 413.6 MB)
2017-08-18 12:13:15,094 [task-result-getter-1] INFO  [org.apache.spark.scheduler.TaskSetManager] - Finished task 1.0 in stage 278.0 (TID 557) in 26 ms on localhost (1/2)
2017-08-18 12:13:15,094 [task-result-getter-0] INFO  [org.apache.spark.scheduler.TaskSetManager] - Finished task 0.0 in stage 278.0 (TID 556) in 29 ms on localhost (2/2)
2017-08-18 12:13:15,094 [task-result-getter-0] INFO  [org.apache.spark.scheduler.TaskSchedulerImpl] - Removed TaskSet 278.0, whose tasks have all completed, from pool 
2017-08-18 12:13:15,094 [dag-scheduler-event-loop] INFO  [org.apache.spark.scheduler.DAGScheduler] - ResultStage 278 (foreachPartition at streamingProcessNew.scala:50) finished in 0.029 s
2017-08-18 12:13:15,095 [dispatcher-event-loop-0] INFO  [org.apache.spark.storage.BlockManagerInfo] - Removed broadcast_267_piece0 on 192.168.31.111:60809 in memory (size: 25.1 KB, free: 413.6 MB)
2017-08-18 12:13:15,096 [streaming-job-executor-0] INFO  [org.apache.spark.scheduler.DAGScheduler] - Job 278 finished: foreachPartition at streamingProcessNew.scala:50, took 0.042699 s
2017-08-18 12:13:15,097 [JobScheduler] INFO  [org.apache.spark.streaming.scheduler.JobScheduler] - Finished job streaming job 1503029595000 ms.0 from job set of time 1503029595000 ms
2017-08-18 12:13:15,097 [JobGenerator] INFO  [org.apache.spark.rdd.MapPartitionsRDD] - Removing RDD 555 from persistence list
2017-08-18 12:13:15,097 [JobScheduler] INFO  [org.apache.spark.streaming.scheduler.JobScheduler] - Total delay: 0.097 s for time 1503029595000 ms (execution: 0.076 s)
2017-08-18 12:13:15,097 [block-manager-slave-async-thread-pool-26] INFO  [org.apache.spark.storage.BlockManager] - Removing RDD 555
2017-08-18 12:13:15,097 [JobGenerator] INFO  [org.apache.spark.streaming.kafka.KafkaRDD] - Removing RDD 554 from persistence list
2017-08-18 12:13:15,098 [JobGenerator] INFO  [org.apache.spark.streaming.scheduler.ReceivedBlockTracker] - Deleting batches: 
2017-08-18 12:13:15,098 [block-manager-slave-async-thread-pool-23] INFO  [org.apache.spark.storage.BlockManager] - Removing RDD 554
2017-08-18 12:13:15,098 [JobGenerator] INFO  [org.apache.spark.streaming.scheduler.InputInfoTracker] - remove old batch metadata: 1503029585000 ms
2017-08-18 12:13:15,099 [dispatcher-event-loop-3] INFO  [org.apache.spark.storage.BlockManagerInfo] - Removed broadcast_268_piece0 on 192.168.31.111:60809 in memory (size: 25.1 KB, free: 413.7 MB)
2017-08-18 12:13:15,102 [dispatcher-event-loop-1] INFO  [org.apache.spark.storage.BlockManagerInfo] - Removed broadcast_269_piece0 on 192.168.31.111:60809 in memory (size: 25.1 KB, free: 413.7 MB)
2017-08-18 12:13:15,105 [dispatcher-event-loop-0] INFO  [org.apache.spark.storage.BlockManagerInfo] - Removed broadcast_270_piece0 on 192.168.31.111:60809 in memory (size: 25.1 KB, free: 413.7 MB)
2017-08-18 12:13:15,106 [dispatcher-event-loop-3] INFO  [org.apache.spark.storage.BlockManagerInfo] - Removed broadcast_271_piece0 on 192.168.31.111:60809 in memory (size: 25.1 KB, free: 413.7 MB)
2017-08-18 12:13:15,109 [dispatcher-event-loop-1] INFO  [org.apache.spark.storage.BlockManagerInfo] - Removed broadcast_272_piece0 on 192.168.31.111:60809 in memory (size: 25.1 KB, free: 413.8 MB)
2017-08-18 12:13:15,111 [dispatcher-event-loop-2] INFO  [org.apache.spark.storage.BlockManagerInfo] - Removed broadcast_273_piece0 on 192.168.31.111:60809 in memory (size: 25.1 KB, free: 413.8 MB)
2017-08-18 12:13:15,114 [dispatcher-event-loop-3] INFO  [org.apache.spark.storage.BlockManagerInfo] - Removed broadcast_274_piece0 on 192.168.31.111:60809 in memory (size: 25.1 KB, free: 413.8 MB)
2017-08-18 12:13:15,115 [dispatcher-event-loop-0] INFO  [org.apache.spark.storage.BlockManagerInfo] - Removed broadcast_275_piece0 on 192.168.31.111:60809 in memory (size: 25.1 KB, free: 413.8 MB)
2017-08-18 12:13:15,117 [dispatcher-event-loop-2] INFO  [org.apache.spark.storage.BlockManagerInfo] - Removed broadcast_276_piece0 on 192.168.31.111:60809 in memory (size: 25.1 KB, free: 413.9 MB)
2017-08-18 12:13:15,118 [dispatcher-event-loop-3] INFO  [org.apache.spark.storage.BlockManagerInfo] - Removed broadcast_277_piece0 on 192.168.31.111:60809 in memory (size: 25.1 KB, free: 413.9 MB)
2017-08-18 12:13:20,014 [JobGenerator] INFO  [org.apache.spark.streaming.scheduler.JobScheduler] - Added jobs for time 1503029600000 ms
2017-08-18 12:13:20,015 [JobScheduler] INFO  [org.apache.spark.streaming.scheduler.JobScheduler] - Starting job streaming job 1503029600000 ms.0 from job set of time 1503029600000 ms
2017-08-18 12:13:20,026 [streaming-job-executor-0] INFO  [org.apache.spark.SparkContext] - Starting job: foreachPartition at streamingProcessNew.scala:50
2017-08-18 12:13:20,027 [dag-scheduler-event-loop] INFO  [org.apache.spark.scheduler.DAGScheduler] - Got job 279 (foreachPartition at streamingProcessNew.scala:50) with 2 output partitions
2017-08-18 12:13:20,027 [dag-scheduler-event-loop] INFO  [org.apache.spark.scheduler.DAGScheduler] - Final stage: ResultStage 279 (foreachPartition at streamingProcessNew.scala:50)
2017-08-18 12:13:20,027 [dag-scheduler-event-loop] INFO  [org.apache.spark.scheduler.DAGScheduler] - Parents of final stage: List()
2017-08-18 12:13:20,027 [dag-scheduler-event-loop] INFO  [org.apache.spark.scheduler.DAGScheduler] - Missing parents: List()
2017-08-18 12:13:20,027 [dag-scheduler-event-loop] INFO  [org.apache.spark.scheduler.DAGScheduler] - Submitting ResultStage 279 (MapPartitionsRDD[559] at map at streamingProcessNew.scala:49), which has no missing parents
2017-08-18 12:13:20,034 [dag-scheduler-event-loop] INFO  [org.apache.spark.storage.memory.MemoryStore] - Block broadcast_279 stored as values in memory (estimated size 34.5 KB, free 413.8 MB)
2017-08-18 12:13:20,037 [dag-scheduler-event-loop] INFO  [org.apache.spark.storage.memory.MemoryStore] - Block broadcast_279_piece0 stored as bytes in memory (estimated size 25.1 KB, free 413.8 MB)
2017-08-18 12:13:20,037 [dispatcher-event-loop-0] INFO  [org.apache.spark.storage.BlockManagerInfo] - Added broadcast_279_piece0 in memory on 192.168.31.111:60809 (size: 25.1 KB, free: 413.9 MB)
2017-08-18 12:13:20,038 [dag-scheduler-event-loop] INFO  [org.apache.spark.SparkContext] - Created broadcast 279 from broadcast at DAGScheduler.scala:1012
2017-08-18 12:13:20,038 [dag-scheduler-event-loop] INFO  [org.apache.spark.scheduler.DAGScheduler] - Submitting 2 missing tasks from ResultStage 279 (MapPartitionsRDD[559] at map at streamingProcessNew.scala:49)
2017-08-18 12:13:20,038 [dag-scheduler-event-loop] INFO  [org.apache.spark.scheduler.TaskSchedulerImpl] - Adding task set 279.0 with 2 tasks
2017-08-18 12:13:20,040 [dispatcher-event-loop-3] INFO  [org.apache.spark.scheduler.TaskSetManager] - Starting task 0.0 in stage 279.0 (TID 558, localhost, partition 0, ANY, 5657 bytes)
2017-08-18 12:13:20,041 [dispatcher-event-loop-3] INFO  [org.apache.spark.scheduler.TaskSetManager] - Starting task 1.0 in stage 279.0 (TID 559, localhost, partition 1, ANY, 5657 bytes)
2017-08-18 12:13:20,041 [Executor task launch worker-1] INFO  [org.apache.spark.executor.Executor] - Running task 0.0 in stage 279.0 (TID 558)
2017-08-18 12:13:20,041 [Executor task launch worker-0] INFO  [org.apache.spark.executor.Executor] - Running task 1.0 in stage 279.0 (TID 559)
2017-08-18 12:13:20,043 [Executor task launch worker-1] INFO  [org.apache.spark.streaming.kafka.KafkaRDD] - Beginning offset 976 is the same as ending offset skipping test07 0
2017-08-18 12:13:20,043 [Executor task launch worker-0] INFO  [org.apache.spark.streaming.kafka.KafkaRDD] - Beginning offset 998 is the same as ending offset skipping test07 1
2017-08-18 12:13:20,048 [Executor task launch worker-1] INFO  [org.apache.spark.executor.Executor] - Finished task 0.0 in stage 279.0 (TID 558). 714 bytes result sent to driver
2017-08-18 12:13:20,048 [Executor task launch worker-0] INFO  [org.apache.spark.executor.Executor] - Finished task 1.0 in stage 279.0 (TID 559). 714 bytes result sent to driver
2017-08-18 12:13:20,049 [task-result-getter-3] INFO  [org.apache.spark.scheduler.TaskSetManager] - Finished task 1.0 in stage 279.0 (TID 559) in 8 ms on localhost (1/2)
2017-08-18 12:13:20,049 [task-result-getter-2] INFO  [org.apache.spark.scheduler.TaskSetManager] - Finished task 0.0 in stage 279.0 (TID 558) in 11 ms on localhost (2/2)
2017-08-18 12:13:20,050 [task-result-getter-2] INFO  [org.apache.spark.scheduler.TaskSchedulerImpl] - Removed TaskSet 279.0, whose tasks have all completed, from pool 
2017-08-18 12:13:20,050 [dag-scheduler-event-loop] INFO  [org.apache.spark.scheduler.DAGScheduler] - ResultStage 279 (foreachPartition at streamingProcessNew.scala:50) finished in 0.012 s
2017-08-18 12:13:20,050 [streaming-job-executor-0] INFO  [org.apache.spark.scheduler.DAGScheduler] - Job 279 finished: foreachPartition at streamingProcessNew.scala:50, took 0.023683 s
2017-08-18 12:13:20,050 [JobScheduler] INFO  [org.apache.spark.streaming.scheduler.JobScheduler] - Finished job streaming job 1503029600000 ms.0 from job set of time 1503029600000 ms
2017-08-18 12:13:20,050 [JobScheduler] INFO  [org.apache.spark.streaming.scheduler.JobScheduler] - Total delay: 0.050 s for time 1503029600000 ms (execution: 0.035 s)
2017-08-18 12:13:20,050 [JobGenerator] INFO  [org.apache.spark.rdd.MapPartitionsRDD] - Removing RDD 557 from persistence list
2017-08-18 12:13:20,051 [block-manager-slave-async-thread-pool-25] INFO  [org.apache.spark.storage.BlockManager] - Removing RDD 557
2017-08-18 12:13:20,051 [JobGenerator] INFO  [org.apache.spark.streaming.kafka.KafkaRDD] - Removing RDD 556 from persistence list
2017-08-18 12:13:20,051 [block-manager-slave-async-thread-pool-23] INFO  [org.apache.spark.storage.BlockManager] - Removing RDD 556
2017-08-18 12:13:20,051 [JobGenerator] INFO  [org.apache.spark.streaming.scheduler.ReceivedBlockTracker] - Deleting batches: 
2017-08-18 12:13:20,051 [JobGenerator] INFO  [org.apache.spark.streaming.scheduler.InputInfoTracker] - remove old batch metadata: 1503029590000 ms
2017-08-18 12:13:25,020 [JobGenerator] INFO  [org.apache.spark.streaming.scheduler.JobScheduler] - Added jobs for time 1503029605000 ms
2017-08-18 12:13:25,021 [JobScheduler] INFO  [org.apache.spark.streaming.scheduler.JobScheduler] - Starting job streaming job 1503029605000 ms.0 from job set of time 1503029605000 ms
2017-08-18 12:13:25,049 [streaming-job-executor-0] INFO  [org.apache.spark.SparkContext] - Starting job: foreachPartition at streamingProcessNew.scala:50
2017-08-18 12:13:25,050 [dag-scheduler-event-loop] INFO  [org.apache.spark.scheduler.DAGScheduler] - Got job 280 (foreachPartition at streamingProcessNew.scala:50) with 2 output partitions
2017-08-18 12:13:25,050 [dag-scheduler-event-loop] INFO  [org.apache.spark.scheduler.DAGScheduler] - Final stage: ResultStage 280 (foreachPartition at streamingProcessNew.scala:50)
2017-08-18 12:13:25,050 [dag-scheduler-event-loop] INFO  [org.apache.spark.scheduler.DAGScheduler] - Parents of final stage: List()
2017-08-18 12:13:25,050 [dag-scheduler-event-loop] INFO  [org.apache.spark.scheduler.DAGScheduler] - Missing parents: List()
2017-08-18 12:13:25,050 [dag-scheduler-event-loop] INFO  [org.apache.spark.scheduler.DAGScheduler] - Submitting ResultStage 280 (MapPartitionsRDD[561] at map at streamingProcessNew.scala:49), which has no missing parents
2017-08-18 12:13:25,055 [dag-scheduler-event-loop] INFO  [org.apache.spark.storage.memory.MemoryStore] - Block broadcast_280 stored as values in memory (estimated size 34.5 KB, free 413.7 MB)
2017-08-18 12:13:25,061 [dag-scheduler-event-loop] INFO  [org.apache.spark.storage.memory.MemoryStore] - Block broadcast_280_piece0 stored as bytes in memory (estimated size 25.1 KB, free 413.7 MB)
2017-08-18 12:13:25,061 [dispatcher-event-loop-1] INFO  [org.apache.spark.storage.BlockManagerInfo] - Added broadcast_280_piece0 in memory on 192.168.31.111:60809 (size: 25.1 KB, free: 413.8 MB)
2017-08-18 12:13:25,062 [dag-scheduler-event-loop] INFO  [org.apache.spark.SparkContext] - Created broadcast 280 from broadcast at DAGScheduler.scala:1012
2017-08-18 12:13:25,063 [dag-scheduler-event-loop] INFO  [org.apache.spark.scheduler.DAGScheduler] - Submitting 2 missing tasks from ResultStage 280 (MapPartitionsRDD[561] at map at streamingProcessNew.scala:49)
2017-08-18 12:13:25,063 [dag-scheduler-event-loop] INFO  [org.apache.spark.scheduler.TaskSchedulerImpl] - Adding task set 280.0 with 2 tasks
2017-08-18 12:13:25,066 [dispatcher-event-loop-2] INFO  [org.apache.spark.scheduler.TaskSetManager] - Starting task 0.0 in stage 280.0 (TID 560, localhost, partition 0, ANY, 5657 bytes)
2017-08-18 12:13:25,066 [dispatcher-event-loop-2] INFO  [org.apache.spark.scheduler.TaskSetManager] - Starting task 1.0 in stage 280.0 (TID 561, localhost, partition 1, ANY, 5657 bytes)
2017-08-18 12:13:25,066 [Executor task launch worker-1] INFO  [org.apache.spark.executor.Executor] - Running task 1.0 in stage 280.0 (TID 561)
2017-08-18 12:13:25,066 [Executor task launch worker-0] INFO  [org.apache.spark.executor.Executor] - Running task 0.0 in stage 280.0 (TID 560)
2017-08-18 12:13:25,068 [Executor task launch worker-1] INFO  [org.apache.spark.streaming.kafka.KafkaRDD] - Beginning offset 998 is the same as ending offset skipping test07 1
2017-08-18 12:13:25,068 [Executor task launch worker-0] INFO  [org.apache.spark.streaming.kafka.KafkaRDD] - Beginning offset 976 is the same as ending offset skipping test07 0
2017-08-18 12:13:25,072 [Executor task launch worker-1] INFO  [org.apache.spark.executor.Executor] - Finished task 1.0 in stage 280.0 (TID 561). 714 bytes result sent to driver
2017-08-18 12:13:25,072 [Executor task launch worker-0] INFO  [org.apache.spark.executor.Executor] - Finished task 0.0 in stage 280.0 (TID 560). 714 bytes result sent to driver
2017-08-18 12:13:25,073 [task-result-getter-1] INFO  [org.apache.spark.scheduler.TaskSetManager] - Finished task 1.0 in stage 280.0 (TID 561) in 7 ms on localhost (1/2)
2017-08-18 12:13:25,074 [task-result-getter-0] INFO  [org.apache.spark.scheduler.TaskSetManager] - Finished task 0.0 in stage 280.0 (TID 560) in 10 ms on localhost (2/2)
2017-08-18 12:13:25,074 [task-result-getter-0] INFO  [org.apache.spark.scheduler.TaskSchedulerImpl] - Removed TaskSet 280.0, whose tasks have all completed, from pool 
2017-08-18 12:13:25,074 [dag-scheduler-event-loop] INFO  [org.apache.spark.scheduler.DAGScheduler] - ResultStage 280 (foreachPartition at streamingProcessNew.scala:50) finished in 0.011 s
2017-08-18 12:13:25,074 [streaming-job-executor-0] INFO  [org.apache.spark.scheduler.DAGScheduler] - Job 280 finished: foreachPartition at streamingProcessNew.scala:50, took 0.025046 s
2017-08-18 12:13:25,074 [JobScheduler] INFO  [org.apache.spark.streaming.scheduler.JobScheduler] - Finished job streaming job 1503029605000 ms.0 from job set of time 1503029605000 ms
2017-08-18 12:13:25,075 [JobScheduler] INFO  [org.apache.spark.streaming.scheduler.JobScheduler] - Total delay: 0.074 s for time 1503029605000 ms (execution: 0.053 s)
2017-08-18 12:13:25,075 [JobGenerator] INFO  [org.apache.spark.rdd.MapPartitionsRDD] - Removing RDD 559 from persistence list
2017-08-18 12:13:25,075 [block-manager-slave-async-thread-pool-25] INFO  [org.apache.spark.storage.BlockManager] - Removing RDD 559
2017-08-18 12:13:25,075 [JobGenerator] INFO  [org.apache.spark.streaming.kafka.KafkaRDD] - Removing RDD 558 from persistence list
2017-08-18 12:13:25,075 [block-manager-slave-async-thread-pool-23] INFO  [org.apache.spark.storage.BlockManager] - Removing RDD 558
2017-08-18 12:13:25,075 [JobGenerator] INFO  [org.apache.spark.streaming.scheduler.ReceivedBlockTracker] - Deleting batches: 
2017-08-18 12:13:25,075 [JobGenerator] INFO  [org.apache.spark.streaming.scheduler.InputInfoTracker] - remove old batch metadata: 1503029595000 ms
2017-08-18 12:13:30,021 [JobGenerator] INFO  [org.apache.spark.streaming.scheduler.JobScheduler] - Added jobs for time 1503029610000 ms
2017-08-18 12:13:30,022 [JobScheduler] INFO  [org.apache.spark.streaming.scheduler.JobScheduler] - Starting job streaming job 1503029610000 ms.0 from job set of time 1503029610000 ms
2017-08-18 12:13:30,053 [streaming-job-executor-0] INFO  [org.apache.spark.SparkContext] - Starting job: foreachPartition at streamingProcessNew.scala:50
2017-08-18 12:13:30,054 [dag-scheduler-event-loop] INFO  [org.apache.spark.scheduler.DAGScheduler] - Got job 281 (foreachPartition at streamingProcessNew.scala:50) with 2 output partitions
2017-08-18 12:13:30,054 [dag-scheduler-event-loop] INFO  [org.apache.spark.scheduler.DAGScheduler] - Final stage: ResultStage 281 (foreachPartition at streamingProcessNew.scala:50)
2017-08-18 12:13:30,054 [dag-scheduler-event-loop] INFO  [org.apache.spark.scheduler.DAGScheduler] - Parents of final stage: List()
2017-08-18 12:13:30,055 [dag-scheduler-event-loop] INFO  [org.apache.spark.scheduler.DAGScheduler] - Missing parents: List()
2017-08-18 12:13:30,055 [dag-scheduler-event-loop] INFO  [org.apache.spark.scheduler.DAGScheduler] - Submitting ResultStage 281 (MapPartitionsRDD[563] at map at streamingProcessNew.scala:49), which has no missing parents
2017-08-18 12:13:30,061 [dag-scheduler-event-loop] INFO  [org.apache.spark.storage.memory.MemoryStore] - Block broadcast_281 stored as values in memory (estimated size 34.5 KB, free 413.7 MB)
2017-08-18 12:13:30,065 [dag-scheduler-event-loop] INFO  [org.apache.spark.storage.memory.MemoryStore] - Block broadcast_281_piece0 stored as bytes in memory (estimated size 25.1 KB, free 413.6 MB)
2017-08-18 12:13:30,067 [dispatcher-event-loop-1] INFO  [org.apache.spark.storage.BlockManagerInfo] - Added broadcast_281_piece0 in memory on 192.168.31.111:60809 (size: 25.1 KB, free: 413.8 MB)
2017-08-18 12:13:30,068 [dag-scheduler-event-loop] INFO  [org.apache.spark.SparkContext] - Created broadcast 281 from broadcast at DAGScheduler.scala:1012
2017-08-18 12:13:30,068 [dag-scheduler-event-loop] INFO  [org.apache.spark.scheduler.DAGScheduler] - Submitting 2 missing tasks from ResultStage 281 (MapPartitionsRDD[563] at map at streamingProcessNew.scala:49)
2017-08-18 12:13:30,069 [dag-scheduler-event-loop] INFO  [org.apache.spark.scheduler.TaskSchedulerImpl] - Adding task set 281.0 with 2 tasks
2017-08-18 12:13:30,072 [dispatcher-event-loop-2] INFO  [org.apache.spark.scheduler.TaskSetManager] - Starting task 0.0 in stage 281.0 (TID 562, localhost, partition 0, ANY, 5657 bytes)
2017-08-18 12:13:30,073 [dispatcher-event-loop-2] INFO  [org.apache.spark.scheduler.TaskSetManager] - Starting task 1.0 in stage 281.0 (TID 563, localhost, partition 1, ANY, 5657 bytes)
2017-08-18 12:13:30,073 [Executor task launch worker-1] INFO  [org.apache.spark.executor.Executor] - Running task 1.0 in stage 281.0 (TID 563)
2017-08-18 12:13:30,073 [Executor task launch worker-0] INFO  [org.apache.spark.executor.Executor] - Running task 0.0 in stage 281.0 (TID 562)
2017-08-18 12:13:30,076 [Executor task launch worker-1] INFO  [org.apache.spark.streaming.kafka.KafkaRDD] - Beginning offset 998 is the same as ending offset skipping test07 1
2017-08-18 12:13:30,076 [Executor task launch worker-0] INFO  [org.apache.spark.streaming.kafka.KafkaRDD] - Beginning offset 976 is the same as ending offset skipping test07 0
2017-08-18 12:13:30,081 [Executor task launch worker-0] INFO  [org.apache.spark.executor.Executor] - Finished task 0.0 in stage 281.0 (TID 562). 714 bytes result sent to driver
2017-08-18 12:13:30,081 [Executor task launch worker-1] INFO  [org.apache.spark.executor.Executor] - Finished task 1.0 in stage 281.0 (TID 563). 714 bytes result sent to driver
2017-08-18 12:13:30,084 [task-result-getter-3] INFO  [org.apache.spark.scheduler.TaskSetManager] - Finished task 0.0 in stage 281.0 (TID 562) in 14 ms on localhost (1/2)
